country,date,words
AT,2002-07-11,108208
AT,2002-08-19,43960
AT,2002-09-19,111601
AT,2002-09-20,57452
AT,2002-12-20,38203
AT,2003-01-23,50228
AT,2003-02-26,90553
AT,2003-03-06,101079
AT,2003-03-19,18222
AT,2003-03-26,100912
AT,2003-04-29,94846
AT,2003-05-07,94772
AT,2003-05-08,92543
AT,2003-05-23,23263
AT,2003-06-04,107639
AT,2003-06-10,197166
AT,2003-06-11,93
AT,2003-06-12,114172
AT,2003-06-13,78219
AT,2003-06-17,114803
AT,2003-06-18,96800
AT,2003-07-08,115546
AT,2003-07-09,116590
AT,2003-07-10,123454
AT,2003-08-12,34596
AT,2003-09-02,33973
AT,2003-09-24,114202
AT,2003-10-22,118483
AT,2003-10-23,99553
AT,2003-11-12,111766
AT,2003-11-13,105229
AT,2003-12-03,111736
AT,2003-12-04,109068
AT,2004-01-13,23341
AT,2004-01-28,106950
AT,2004-01-29,102615
AT,2004-02-10,32457
AT,2004-02-25,101768
AT,2004-02-26,78335
AT,2004-03-16,27171
AT,2004-03-24,113713
AT,2004-03-25,105087
AT,2004-05-05,71560
AT,2004-05-06,86655
AT,2004-05-26,117677
AT,2004-05-27,99387
AT,2004-06-04,44503
AT,2004-06-16,76719
AT,2004-06-17,93129
AT,2004-06-28,60729
AT,2004-07-07,55514
AT,2004-07-09,86114
AT,2004-08-31,25736
AT,2004-09-22,96030
AT,2004-10-13,99298
AT,2004-10-14,97701
AT,2004-10-21,47192
AT,2004-11-09,98098
AT,2004-11-10,115267
AT,2004-11-11,83644
AT,2004-11-16,105202
AT,2004-11-17,97077
AT,2004-11-18,74320
AT,2004-12-09,123296
AT,2004-12-10,109911
AT,2004-12-22,30336
AT,2005-01-26,113775
AT,2005-02-04,25728
AT,2005-03-02,114525
AT,2005-03-03,107558
AT,2005-03-31,99274
AT,2005-04-01,93034
AT,2005-04-05,100483
AT,2005-04-06,92358
AT,2005-04-07,91062
AT,2005-04-12,25743
AT,2005-04-27,29472
AT,2005-05-11,105624
AT,2005-05-12,115972
AT,2005-06-08,99738
AT,2005-06-09,96006
AT,2005-07-06,114093
AT,2005-07-07,102668
AT,2005-07-08,62900
AT,2005-08-11,31790
AT,2005-09-21,27193
AT,2005-09-28,127142
AT,2005-09-29,74273
AT,2005-10-19,143494
AT,2005-10-20,122
AT,2005-11-16,116387
AT,2005-12-06,128645
AT,2005-12-07,110349
AT,2005-12-21,66615
AT,2006-01-25,115873
AT,2006-02-02,28120
AT,2006-02-13,33921
AT,2006-03-01,119371
AT,2006-03-02,111884
AT,2006-03-29,129837
AT,2006-03-30,39012
AT,2006-04-26,121478
AT,2006-04-27,58938
AT,2006-05-08,25417
AT,2006-05-18,23849
AT,2006-05-23,102996
AT,2006-05-24,111174
AT,2006-06-21,103442
AT,2006-06-22,94826
AT,2006-06-29,22359
AT,2006-07-12,114116
AT,2006-07-13,122233
AT,2006-07-14,61267
AT,2006-09-12,26606
AT,2006-09-21,88940
AT,2006-10-30,56730
AT,2006-11-17,28146
AT,2006-11-29,88744
AT,2006-12-14,61192
AT,2006-12-15,44958
AT,2007-01-16,167727
AT,2007-01-17,77
AT,2007-01-30,74187
AT,2007-03-07,113497
AT,2007-03-22,33357
AT,2007-03-29,91037
AT,2007-03-30,77435
AT,2007-04-24,95753
AT,2007-04-25,361719
AT,2007-05-03,176
AT,2007-06-05,110820
AT,2007-06-06,91214
AT,2007-07-04,117551
AT,2007-07-05,111338
AT,2007-07-06,97530
AT,2007-09-27,115800
AT,2007-10-10,30239
AT,2007-10-17,126735
AT,2007-11-07,95980
AT,2007-11-08,93941
AT,2007-12-04,137473
AT,2007-12-05,138278
AT,2007-12-06,127922
AT,2008-01-16,31400
AT,2008-01-30,141169
AT,2008-01-31,114690
AT,2008-03-03,39896
AT,2008-03-11,95187
AT,2008-03-13,84868
AT,2008-04-09,102657
AT,2008-04-10,80648
AT,2008-05-07,94116
AT,2008-05-08,97285
AT,2008-06-05,111698
AT,2008-06-06,131541
AT,2008-06-07,83
AT,2008-07-08,117534
AT,2008-07-09,116213
AT,2008-07-10,84758
AT,2008-09-12,50654
AT,2008-09-24,159093
AT,2008-10-20,40317
AT,2008-10-28,44223
AT,2008-11-25,28092
AT,2008-12-03,102548
AT,2008-12-10,79844
AT,2009-01-21,118411
AT,2009-01-22,97266
AT,2009-02-17,32838
AT,2009-02-26,135366
AT,2009-02-27,4097
AT,2009-03-11,140877
AT,2009-03-12,96301
AT,2009-03-31,27019
AT,2009-04-21,122275
AT,2009-04-22,108678
AT,2009-05-19,122076
AT,2009-05-20,452743
AT,2009-05-29,3375
AT,2009-06-16,84682
AT,2009-06-17,101064
AT,2009-07-08,123549
AT,2009-07-09,111764
AT,2009-07-10,107846
AT,2009-09-01,44239
AT,2009-09-18,30553
AT,2009-09-23,120707
AT,2009-09-24,108
AT,2009-10-15,34166
AT,2009-10-21,122102
AT,2009-10-22,129268
AT,2009-11-05,32954
AT,2009-11-12,35403
AT,2009-11-18,124339
AT,2009-11-19,103430
AT,2009-12-03,27889
AT,2009-12-10,122866
AT,2009-12-11,118576
AT,2010-01-29,128316
AT,2010-01-30,78
AT,2010-02-24,102153
AT,2010-03-24,125200
AT,2010-03-25,111202
AT,2010-04-21,106245
AT,2010-04-22,112084
AT,2010-05-05,33451
AT,2010-05-19,92365
AT,2010-05-20,119637
AT,2010-06-16,107026
AT,2010-06-17,87340
AT,2010-07-07,101548
AT,2010-07-08,36169
AT,2010-07-09,101574
